Place,Cases,CasesLast14Days,AvgDailyPer100K,RelativeChange,TotalTested,TotalTestedLast14Days,TotalPositiveLast14Days,PctPositive,ChangePctPositivity,Date
Russell,20,,5,Higher,271,52,8,0.153846154,Higher,2020-08-12
Lynn,4195,343,24.3,Higher,33965,5356,400,0.074682599,Higher,2020-08-12
Revere,2106,157,18.4,Higher,18744,3457,190,0.054960949,Lower,2020-08-12
Everett,1925,76,11.2,Higher,15563,1887,94,0.04981452,Higher,2020-08-12
Brockton,4470,96,7,Higher,31228,3224,155,0.048076923,Lower,2020-08-12
Chelsea,3151,101,19.2,Higher,18683,2675,121,0.045233645,Lower,2020-08-12
Hull,62,11,8,Higher,1771,258,11,0.042635659,Higher,2020-08-12
Seekonk,102,8,4.1,Higher,2061,293,12,0.040955631,Higher,2020-08-12
Saugus,616,36,9,Higher,7523,1083,43,0.039704524,Lower,2020-08-12
Rehoboth,77,9,5.1,Higher,1674,247,9,0.036437247,Higher,2020-08-12
Georgetown,72,9,7.2,Higher,1604,259,9,0.034749035,No Change,2020-08-12
New Marlborough,8,,5,No Change,158,29,1,0.034482759,Lower,2020-08-12
Winthrop,335,20,7.6,Higher,5356,794,27,0.034005038,Lower,2020-08-12
Holland,10,,5,No Change,382,90,3,0.033333333,Lower,2020-08-12
Fall River,1855,104,8.3,Higher,26088,3782,125,0.033051296,Lower,2020-08-12
Salem,718,52,8.3,Higher,11557,1829,58,0.031711318,Higher,2020-08-12
Granby,40,7,8.1,Higher,1027,258,8,0.031007752,Lower,2020-08-12
Chicopee,557,47,5.9,Lower,11293,1950,60,0.030769231,Lower,2020-08-12
South Hadley,188,16,6.3,Higher,3072,644,19,0.029503106,Higher,2020-08-12
Malden,1349,49,5.2,Higher,16140,2140,62,0.028971963,Lower,2020-08-12
Peabody,1088,52,6.7,Higher,14524,2290,66,0.028820961,Higher,2020-08-12
Attleboro,711,23,3.6,Higher,8608,1026,29,0.028265107,Lower,2020-08-12
Lawrence,3878,105,8.5,Lower,30890,4437,125,0.028172188,Lower,2020-08-12
Berkley,77,,5,Higher,1324,214,6,0.028037383,Lower,2020-08-12
Blackstone,63,6,4.7,Higher,1610,259,7,0.027027027,Higher,2020-08-12
