fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails.currentIcuCovid,metrics.icuHeadroomDetails.currentIcuCovidMethod,metrics.icuHeadroomDetails.currentIcuNonCovid,metrics.icuHeadroomDetails.currentIcuNonCovidMethod,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,lastUpdatedDate,url
02,USA,AK,,state,,iso1:us#iso2:us-ak,,731545,0.0420977932423771,HHSTesting,43.6844525724909,0.147071971390255,0.764315045747,0.1,0.333333333333333,19,actual,68,actual,0.696,3,1,3,1,0,0,0,44876,191,78875,1235266,235,1853,,111,0.58,125,87,19,0.676923076923,274,2020-12-25,https://covidactnow.org/us/alaska-ak
01,USA,AL,,state,,iso1:us#iso2:us-al,,4903185,0.176923076923077,HHSTesting,82.9373443704741,0.0198693177826179,1.07181146174,0.1,0.791921664626683,647,actual,637,actual,0.883081155433288,5,2,5,2,1,3,3,336236,4676,349756,2628012,404,19167,,2538,0.6,1454,1284,647,0.7,4232,2020-12-25,https://covidactnow.org/us/alabama-al
05,USA,AR,,state,,iso1:us#iso2:us-ar,,3017804,0.1143261192064,HHSTesting,78.5907330533821,0.0666184797012408,1.05241852894,0.1,0.610021786492375,280,actual,495,actual,0.812368972746331,5,2,5,2,1,2,2,211145,3406,164813,1690824,790,13284,,1084,0.55,954,775,280,0.61,3204,2020-12-25,https://covidactnow.org/us/arkansas-ar
04,USA,AZ,,state,,iso1:us#iso2:us-az,,7278717,0.164800905036899,HHSTesting,88.2965657664276,0.0123232862096559,1.03607240524,0.1,0.569870483980913,836,actual,687,actual,0.707056638811514,5,2,5,2,1,1,1,482161,8301,467311,3506851,396,18286,,3945,0.6,2154,1523,836,0.829018663456,7796,2020-12-25,https://covidactnow.org/us/arizona-az
06,USA,CA,,state,,iso1:us#iso2:us-ca,,39512223,0.130910888564846,HHSTesting,103.705341292201,0.0517372417495834,1.13404579013,0.0999999999999999,0.751929897767578,3604,actual,3113,actual,0.849607892739691,5,2,5,2,2,3,2,2047919,23944,1660943,23544484,10600,99574,,18311,0.6,7906,6717,3604,0.59,34731,2020-12-25,https://covidactnow.org/us/california-ca
08,USA,CO,,state,,iso1:us#iso2:us-co,,5758736,0.0697391143456272,HHSTesting,46.2105374711197,0.0977023835086966,0.844615124777,0.1,0.405050505050505,401,actual,504,actual,0.605756358768407,3,1,3,2,0,0,0,320714,4610,314998,3554200,1300,13464,,1450,0.63,1494,905,401,0.8043135192,2687,2020-12-25,https://covidactnow.org/us/colorado-co
09,USA,CT,,state,,iso1:us#iso2:us-ct,,3565287,0.111201001850764,HHSTesting,50.6511016604594,0.0952456293014793,0.90978943116,0.1,0.368731563421829,250,actual,423,actual,0.611262488646685,3,2,3,2,1,0,0,171919,5791,212082,3791537,860,8238,,1358,0.68,1101,673,250,0.65,2038,2020-12-25,https://covidactnow.org/us/connecticut-ct
11,USA,DC,,state,,iso1:us#iso2:us-dc,,705749,0.0387980354533772,HHSTesting,32.5085223540623,0.233623910336239,0.97081688504,0.1,0.541353383458647,72,actual,190,actual,0.811145510835913,3,1,3,1,1,1,2,27436,756,37640,957751,268,4623,,310,0.76,323,262,72,0.828985507246,210,2020-12-25,https://covidactnow.org/us/district_of_columbia-dc
10,USA,DE,,state,,iso1:us#iso2:us-de,,973764,0.0904382082583532,HHSTesting,62.306091179617,0.0695549799858724,0.94588215298,0.1,0.666666666666667,62,actual,100,actual,0.839378238341969,3,1,3,2,1,2,2,53015,888,61405,995808,211,4052,,468,0.71,193,162,62,0.73,780,2020-12-25,https://covidactnow.org/us/delaware-de
12,USA,FL,,state,,iso1:us#iso2:us-fl,,21477737,0.10519106445625,HHSTesting,52.5880090891991,0.0460392345344852,1.06400916358,0.1,0.480231008440693,1081,actual,3861,actual,0.808573298429319,3,2,3,2,1,0,2,1243668,20994,1674462,14601564,2600,76852,,5746,0.76,6112,4942,1081,0.76,13147,2020-12-25,https://covidactnow.org/us/florida-fl
13,USA,GA,,state,,iso1:us#iso2:us-ga,,10617423,0.138397545822974,HHSTesting,66.0733373275767,0.0447594029364449,1.12605958017,0.1,0.738362760834671,920,actual,1451,actual,0.879124953652206,3,2,3,2,2,3,3,597753,10256,486954,4423587,1570,29899,,3863,0.68,2697,2371,920,0.815056720523,10281,2020-12-25,https://covidactnow.org/us/georgia-ga
15,USA,HI,,state,,iso1:us#iso2:us-hi,,1415872,0.029940119760479,HHSTesting,9.34305603089222,0.453563714902808,1.07858766763,0.13853716057,0.164948453608247,16,actual,131,actual,0.644736842105263,1,0,1,1,1,0,0,20707,283,24319,737012,300,3064,,77,0.66,228,147,16,0.69,125,2020-12-25,https://covidactnow.org/us/hawaii-hi
19,USA,IA,,state,,iso1:us#iso2:us-ia,,3155070,0.11152342858881,HHSTesting,51.8485213594989,0.0492708060431403,0.936895062146,0.100000000004,0.401709401709402,141,actual,327,actual,0.690265486725664,3,2,3,2,1,0,0,273661,3739,279188,2080538,403,13582,,656,0.5,678,468,141,0.56,1549,2020-12-25,https://covidactnow.org/us/iowa-ia
16,USA,ID,,state,,iso1:us#iso2:us-id,,1787065,0.145401256799384,HHSTesting,65.2226655757585,0.0428974138987621,0.934947614306,0.100000000004,0.659090909090909,116,actual,125,actual,0.800664451827243,3,2,3,2,1,2,2,135383,1353,170823,793692,250,3796,,457,0.54,301,241,116,0.53,1125,2020-12-25,https://covidactnow.org/us/idaho-id
17,USA,IL,,state,,iso1:us#iso2:us-il,,12671821,0.0968400238297441,HHSTesting,51.5632283631532,0.116314661769207,0.891221077516,0.1,0.437171524128046,915,actual,1430,actual,0.665625887028101,3,1,3,1,0,0,0,926967,16964,945956,9812528,3800,38143,,4544,0.58,3523,2345,915,0.615201900238,6975,2020-12-25,https://covidactnow.org/us/illinois-il
18,USA,IN,,state,,iso1:us#iso2:us-in,,6732219,0.158086940402262,HHSTesting,75.5577661052661,0.0629089785716292,0.91958613023,0.0999999999999999,0.555462885738115,666,actual,954,actual,0.752438457965629,5,2,5,2,1,1,1,485285,7730,556404,4665195,1600,18472,,2966,0.57,2153,1620,666,0.653419593346,6205,2020-12-25,https://covidactnow.org/us/indiana-in
20,USA,KS,,state,,iso1:us#iso2:us-ks,,2913314,0.148370433406488,HHSTesting,72.4408207089442,0.0340215257564476,0.937689561632,0.0999999999979999,0.556338028169014,237,actual,393,actual,0.769230769230769,3,2,3,2,1,1,1,212962,2507,199718,1490915,359,12492,,1035,0.51,819,630,237,0.633136094675,91,2020-12-25,https://covidactnow.org/us/kansas-ks
21,USA,KY,,state,,iso1:us#iso2:us-ky,,4467673,0.117616286352149,HHSTesting,52.0469093034722,0.106653560238373,0.888425822032,0.1,0.432819383259912,393,actual,767,actual,0.692537313432836,3,2,3,1,0,0,0,252937,2780,284879,2194466,1240,19775,,1627,0.59,1675,1160,393,0.66,459,2020-12-25,https://covidactnow.org/us/kentucky-ky
22,USA,LA,,state,,iso1:us#iso2:us-la,,4648794,0.10401082155837,HHSTesting,52.7878843416163,0.06519967400163,1.01971801506,0.0999999999999999,0.484590860786398,456,actual,916,actual,0.73882606354335,3,2,3,2,1,0,1,296499,7272,355809,3502940,800,20906,,1454,0.55,1857,1372,456,0.668632075472,2565,2020-12-25,https://covidactnow.org/us/louisiana-la
25,USA,MA,,state,,iso1:us#iso2:us-ma,,6892503,0.0629824674073598,HHSTesting,67.7299047136536,0.100679356141747,1.00683999011,0.1,0.5,405,actual,645,actual,0.721649484536083,3,1,3,1,1,0,1,341925,11963,391630,9854587,2350,24379,,1845,0.72,1455,1050,405,0.5,5937,2020-12-25,https://covidactnow.org/us/massachusetts-ma
24,USA,MD,,state,,iso1:us#iso2:us-md,,6045680,0.0799175399415908,HHSTesting,39.5725306570737,0.117035887024542,0.95927025698,0.0999999999999999,0.597791798107255,379,actual,640,actual,0.799843014128728,3,1,3,1,1,1,1,260994,5627,427839,5173528,1400,14456,,1939,0.72,1274,1019,379,0.66,2865,2020-12-25,https://covidactnow.org/us/maryland-md
23,USA,ME,,state,,iso1:us#iso2:us-me,,1344212,0.0396863783315938,HHSTesting,35.3366879629106,0.0362105263157895,1.16788588958,0.0999999999999999,0.289473684210526,44,actual,174,actual,0.668711656441718,3,1,3,2,2,0,0,21226,317,18602,708525,86,3847,,202,0.63,326,218,44,0.724675324675,735,2020-12-25,https://covidactnow.org/us/maine-me
26,USA,MI,,state,,iso1:us#iso2:us-mi,,9986857,0.0937412156651802,HHSTesting,30.3227102809794,0.0660439664119257,0.773276037781,0.1,0.56317093311313,682,actual,1454,actual,0.801500938086304,3,1,3,2,0,1,2,508029,12406,622232,7448943,1000,27031,,3195,0.61,2665,2136,682,0.776520051746,254,2020-12-25,https://covidactnow.org/us/michigan-mi
27,USA,MN,,state,,iso1:us#iso2:us-mn,,5639632,0.0646040687054182,HHSTesting,38.5840778263546,0.0944852941176471,0.71466654477,0.1,0.478,239,actual,466,actual,0.729813664596273,3,1,3,2,0,0,1,404462,5109,593827,5707774,1028,17693,,1230,0.6,966,705,239,0.532017075774,1884,2020-12-25,https://covidactnow.org/us/minnesota-mn
29,USA,MO,,state,,iso1:us#iso2:us-mo,,6137428,0.165017662196506,HHSTesting,50.0768167289062,0.00611694710421121,0.937607323057,0.100000000003,0.681770284510011,647,actual,918,actual,0.838243170862346,3,2,3,2,1,2,2,399528,5627,237640,1831511,94,26185,,2728,0.62,1867,1565,647,0.689096797409,3119,2020-12-25,https://covidactnow.org/us/missouri-mo
69,USA,MP,,state,,iso1:us#iso2:us-mp,,53605,,covid_tracking,1.33249830106467,,,,,,,,,,1,4,1,4,4,4,4,118,2,118,17429,10,,,0,,,,,,0,2020-12-25,https://covidactnow.org/us/northern_mariana_islands-mp
28,USA,MS,,state,,iso1:us#iso2:us-ms,,2976149,0.148194675203631,HHSTesting,70.7865864818692,0.0189869125923917,1.03163653054,0.0999999999999999,0.698254364089776,280,actual,437,actual,0.855608591885442,3,2,3,2,1,2,3,202651,4556,110784,821039,200,14398,,1284,0.51,838,717,280,0.807865168539,2326,2020-12-25,https://covidactnow.org/us/mississippi-ms
30,USA,MT,,state,,iso1:us#iso2:us-mt,,1068778,0.1119825708061,HHSTesting,47.0630944873491,0.0795228628230616,0.845581192388,0.1,0.477611940298507,64,actual,87,actual,0.683257918552036,3,2,3,2,0,0,0,79066,918,101120,580659,200,3639,,267,0.57,221,151,64,0.61,475,2020-12-25,https://covidactnow.org/us/montana-mt
37,USA,NC,,state,,iso1:us#iso2:us-nc,,10488084,0.111132209296481,HHSTesting,53.4838257533842,0.0433199205419447,1.0034214341,0.0999999999999999,0.615455381784729,669,actual,1340,actual,0.827770910589205,3,2,3,2,1,2,2,493461,6420,530584,5589282,1215,29396,,3060,0.64,2427,2009,669,0.77562210038,136,2020-12-25,https://covidactnow.org/us/north_carolina-nc
38,USA,ND,,state,,iso1:us#iso2:us-nd,,762062,0.0468656204442158,HHSTesting,35.3552035698633,0.371155885471898,0.744640642913,0.1,0.415384615384615,54,actual,84,actual,0.644859813084112,3,1,3,1,0,0,0,90955,1267,72892,921202,500,3991,,280,0.55,214,138,54,0.67,226,2020-12-25,https://covidactnow.org/us/north_dakota-nd
31,USA,NE,,state,,iso1:us#iso2:us-ne,,1934408,0.158782055559262,HHSTesting,50.668879426825,0.204051887479959,0.848615867747,0.1,0.394871794871795,154,actual,174,actual,0.581560283687943,3,2,3,1,0,0,0,160622,1590,201728,1131448,1000,7482,,593,0.53,564,328,154,0.638330757342,761,2020-12-25,https://covidactnow.org/us/nebraska-ne
33,USA,NH,,state,,iso1:us#iso2:us-nh,,1359711,0.13148463399337,HHSTesting,48.7288422739412,0.0422595946528676,0.966390618189,0.100000000001,0.344632768361582,61,actual,105,actual,0.588652482269504,3,2,3,2,1,0,0,38902,690,36063,646421,140,3472,,298,0.68,282,166,61,0.56,390,2020-12-25,https://covidactnow.org/us/new_hampshire-nh
34,USA,NJ,,state,,iso1:us#iso2:us-nj,,8882190,0.107278425909803,HHSTesting,49.1336354788949,0.137484042030836,0.977721770797,0.100000000003,0.443250503693754,660,actual,960,actual,0.661494487545937,3,2,3,1,1,0,0,451787,18544,369399,5900709,3000,30568,,3624,0.69,2449,1620,660,0.176470588235,4704,2020-12-25,https://covidactnow.org/us/new_jersey-nj
